"emp_no","dept_name","first_name","last_name"
10002,"Sales","Bezalel","Simmel"
10016,"Sales","Kazuhito","Cappelletti"
10034,"Sales","Bader","Swan"
10041,"Sales","Uri","Lenart"
10050,"Sales","Yinghua","Dredge"
10053,"Sales","Sanjiv","Zschoche"
10060,"Sales","Breannda","Billingsley"
10061,"Sales","Tse","Herber"
10068,"Sales","Charlene","Brattka"
10087,"Sales","Xinglin","Eugenio"
10088,"Sales","Jungsoon","Syrzycki"
10089,"Sales","Sudharsan","Flasterstein"
10093,"Sales","Sailaja","Desikan"
10095,"Sales","Hilari","Morton"
10099,"Sales","Valter","Sullins"
10101,"Sales","Perla","Heyers"
10107,"Sales","Dung","Baca"
10125,"Sales","Syozo","Hiltgen"
10136,"Sales","Zissis","Pintelas"
10148,"Sales","Douadi","Azumi"
10149,"Sales","Xiadong","Perry"
10151,"Sales","Itzchak","Lichtner"
10160,"Sales","Debatosh","Khasidashvili"
10178,"Sales","Valery","Litvinov"
10185,"Sales","Duro","Sidhu"
10199,"Sales","Kazuhisa","Ranta"
10209,"Sales","Yolla","Ellozy"
10214,"Sales","Tadahiko","Ciolek"
10215,"Sales","Xiaobin","Duclos"
10226,"Sales","Xinglin","Plessier"
10228,"Sales","Karoline","Cesareni"
10232,"Sales","Marko","Auria"
10234,"Sales","Arunachalam","Bakhtari"
10236,"Sales","Susumu","Bade"
10237,"Sales","Yannis","Mandell"
10243,"Sales","Wonhee","Pouyioutas"
10248,"Sales","Frederique","Tempesti"
10253,"Sales","Zsolt","Salinas"
10254,"Sales","Shen","Brattka"
10256,"Sales","Irene","Radhakrishnan"
10262,"Sales","Mahendra","Maraist"
10270,"Sales","Bedir","Hartvigsen"
10273,"Sales","Baocai","Lieblein"
10277,"Sales","Isaac","Schwartzbauer"
10291,"Sales","Dipayan","Seghrouchni"
10292,"Sales","Yucel","Ghelli"
10296,"Sales","Petter","Lorho"
10299,"Sales","Ipke","Stentiford"
10302,"Sales","Faiza","Baer"
10304,"Sales","Bernt","Erie"
10306,"Sales","Heng","Kilgour"
10308,"Sales","Dzung","Holburn"
10314,"Sales","Christfried","Apsitis"
10319,"Sales","Mechthild","Miyakawa"
10320,"Sales","Uinam","Stasinski"
10321,"Sales","Guenter","Ravishankar"
10330,"Sales","Kasturi","Bellmore"
10331,"Sales","Arto","Binkley"
10335,"Sales","Toshimori","Bahi"
10346,"Sales","Aamod","Radwan"
10355,"Sales","Satyanarayana","Cochrane"
10361,"Sales","Seshu","Sidou"
10369,"Sales","Qunsheng","Toyoshima"
10370,"Sales","Clyde","Fandrianto"
10374,"Sales","Willard","Rosin"
10375,"Sales","Dante","Kalafatis"
10378,"Sales","Takahira","Lichtner"
10380,"Sales","Alejandro","Kamble"
10388,"Sales","Hironoby","Kaiser"
10398,"Sales","Shooichi","Escriba"
10399,"Sales","Guenter","Marchegay"
10400,"Sales","Ortrud","Nitto"
10403,"Sales","Atreyi","Mungall"
10407,"Sales","Ulf","Siepmann"
10408,"Sales","Martijn","Kaiser"
10410,"Sales","Takahito","Gecsei"
10411,"Sales","Lidong","Klerer"
10417,"Sales","Bingning","Bakhtari"
10427,"Sales","Khosrow","Sudbeck"
10431,"Sales","Patricio","Bugrara"
10442,"Sales","Volkmar","Unno"
10444,"Sales","Kazuhira","Rosis"
10448,"Sales","Phule","Oxenboll"
10449,"Sales","Aleksandar","Sudkamp"
10454,"Sales","Wonhee","Badr"
10455,"Sales","Sverrir","Streng"
10458,"Sales","Gina","Engelmann"
10461,"Sales","Gal","Karcich"
10463,"Sales","Ung","Zaiane"
10468,"Sales","Yoshimitsu","Shobatake"
10472,"Sales","Salvador","Lodder"
10490,"Sales","Huiqun","Vuskovic"
10493,"Sales","Maris","Haraldson"
10499,"Sales","Maik","Luft"
10504,"Sales","Xiong","Varker"
10505,"Sales","Isamu","Auria"
10509,"Sales","Abdelwaheb","Riesenhuber"
10510,"Sales","Keung","Slobodova"
10515,"Sales","Raimond","Kirkerud"
10517,"Sales","Tiina","Speek"
10521,"Sales","Kwangsub","Setia"
10525,"Sales","Yuchang","Lunt"
10532,"Sales","Mary","Wossner"
10533,"Sales","Mohamadou","Smailagic"
10536,"Sales","Yechiam","Sambasivam"
10537,"Sales","Stella","Benzmuller"
10539,"Sales","Yucel","Reinhard"
10541,"Sales","Godehard","Eiter"
10548,"Sales","Ramalingam","Gunderson"
10555,"Sales","Vitaly","Picci"
10559,"Sales","Arumugam","Comellas"
10561,"Sales","Serge","Joslin"
10567,"Sales","Dietrich","Journel"
10568,"Sales","Gao","Poulakidas"
10570,"Sales","Alassane","Morrin"
10573,"Sales","Tetsushi","Speel"
10592,"Sales","Almudena","Alvarado"
10596,"Sales","Sanjit","Coors"
10597,"Sales","Lucien","Schaad"
10600,"Sales","Emran","Rettelbach"
10603,"Sales","Wayne","Restivo"
10616,"Sales","Tommaso","Marwedel"
10619,"Sales","Vivian","Kusakabe"
10629,"Sales","Lalit","Francisci"
10633,"Sales","Sorina","Herber"
10637,"Sales","Heejo","Frolund"
10638,"Sales","Jenwei","Borovoy"
10640,"Sales","Anneke","Meszaros"
10644,"Sales","Pranas","Benaini"
10655,"Sales","Remko","Dalton"
10670,"Sales","Shunichi","McAffer"
